product_id,product_name,category
PRD001,Wireless Mouse,Electronics
PRD002,Mechanical Keyboard,Electronics
PRD003,USB-C Fast Charger,Electronics
PRD004,Power Bank 20000mAh,Electronics
PRD005,Noise-Canceling Earbuds,Electronics
PRD006,Laptop Sleeve 15-inch,Accessories
PRD007,Adjustable Phone Stand,Accessories
PRD008,Smart Fitness Watch,Accessories
PRD009,Anti-Theft Backpack,Accessories
PRD010,Leather Slim Wallet,Accessories
PRD011,LED Desk Lamp,Home
PRD012,Bluetooth Speaker,Electronics
PRD013,Digital Wall Clock,Home
PRD014,Memory Foam Pillow,Home
PRD015,Ergonomic Desk Chair,Home
PRD016,Stainless Steel Water Bottle,Kitchen
PRD017,Digital Air Fryer,Kitchen
PRD018,Chef Knife Set 5-Piece,Kitchen
PRD019,Non-Stick Frying Pan,Kitchen
PRD020,Glass Meal Containers 4-Pack,Kitchen
PRD021,Electric Toothbrush,Personal Care
PRD022,Ionic Hair Dryer,Personal Care
PRD023,Organic Shampoo 500ml,Personal Care
PRD024,Hydrating Skincare Serum,Personal Care
PRD025,Beard Trimmer Kit,Personal Care
PRD026,Executive Hardbound Journal,Stationery
PRD027,Fine Gel Pen Set 10-Pack,Stationery
PRD028,Mesh Desk Organizer,Stationery
PRD029,Pastel Highlighter Pack,Stationery
PRD030,Sticky Notes Value Box,Stationery
PRD031,Arabica Coffee Beans 500g,Grocery
PRD032,Organic Green Tea 100 Bags,Grocery
PRD033,Artisanal Dark Chocolate 3-Pack,Grocery
PRD034,Raw California Almonds 500g,Grocery
PRD035,Extra Virgin Olive Oil 1L,Grocery
PRD036,Eco Yoga Mat 6mm,Lifestyle
PRD037,Insulated Travel Tumbler,Lifestyle
PRD038,Waterproof Travel Duffel,Lifestyle
PRD039,UV Protection Sunglasses,Lifestyle
PRD040,Cotton Canvas Tote Bag,Lifestyle
